id,age,sex,value,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52
1,23,1,0.110576923,0.6,0.45,0.35,-0.75,-0.8,-1,0.5,0,-0.45,-1,0,-0.5,0,0.65,-0.35,-0.4,0.65,0.7,0.7,0.7,-0.65,1,0.85,1,1,0.75,0,0,-0.3,0.55,0,-0.5,0.5,-0.45,-0.5,0.7,0,1,0.6,-0.6,0,0,-1,0.55,0.3,0.35,0.25,-0.35,-0.2,0.2,0.65,0
2,22,1,0.142307692,0.25,0.25,0.2,0.3,-0.35,0.25,0.25,0.45,0.5,-0.2,0.15,-0.15,0.3,0.25,0.2,0.25,0.15,0.3,0.25,0.25,-0.15,-0.15,0.25,-0.3,0.4,0.2,0.3,0.3,-0.4,-0.2,0.25,0.25,0.3,-0.5,0.3,-0.25,-0.15,-0.25,0.45,-0.3,0.4,-0.15,0.2,0.25,0.3,0.25,0.25,0.35,0.25,0.4,0.4,0.3
3,22,1,0.098076923,-0.25,0.1,-0.45,0.75,0.35,0.5,-0.35,0.5,0.85,-0.1,-0.05,-0.75,-0.1,-0.2,-0.45,-0.1,0.35,-0.2,0.55,-0.3,0.55,-0.75,-0.25,0.3,0.55,0.45,-0.35,0.3,0.55,0.3,-0.05,-0.2,0.05,-0.3,-0.05,0.15,0.7,-0.55,0.6,0.1,-0.15,0.65,0.65,0.1,-0.4,0.05,0.2,0.4,-0.1,0.4,0.7,-0.15
4,24,1,0.135576923,0.15,-0.55,0.45,0.35,-0.95,-0.25,-0.6,0.25,-0.35,-0.65,0.35,0.8,0.7,0.85,0.6,0.4,0.25,-0.3,0.6,1,-0.5,-0.15,1,0.85,1,-0.1,0.25,0,-0.15,0.45,0.45,-0.4,-0.5,-0.35,0.45,0.3,-0.35,-0.3,0.2,-0.2,0.6,-0.25,-0.4,0.35,0.4,1,0,-0.55,0.35,-0.9,0.6,0.8
5,23,1,0.332692308,0.65,0.6,-0.3,0.4,0.4,0.25,0.5,0.45,-0.25,-0.45,0.6,0.8,0.7,0.65,-0.25,0.45,0.25,-0.15,0.5,0.55,-0.35,0.4,0.8,0.3,0.75,-0.45,0.35,0.85,-0.65,0.55,0.75,0.45,0.5,0.4,0.4,0.4,0.35,0.65,0.7,-0.55,0.5,0.3,0.55,0.15,0.55,0.7,0.5,0.4,-0.35,0.4,0.15,0.5
6,32,1,-0.066346154,-0.55,0,0,0,-0.5,0.5,0.6,0.25,0.6,0,-0.45,-0.45,-0.35,-0.1,0,-0.25,0.3,-0.4,0,-0.35,-0.25,0,-0.4,-0.4,0,0.35,0.35,-0.45,-0.1,0,-0.3,-0.35,0.15,-0.5,-0.25,0.5,0,-0.4,0.35,-0.3,0,0.3,-0.3,-0.4,-0.4,-0.2,0.25,-0.15,0.35,0,0.25,0
7,21,1,0.199038462,0.1,0.9,0.5,0.55,-0.3,0.5,0.3,1,0,-0.3,0.5,-0.5,1,0.85,0.55,0.6,-0.7,-0.3,-0.35,0.75,-0.85,-0.3,0.55,-1,-0.1,-0.4,-0.4,-0.25,-0.2,0.45,0.6,0,0.65,-0.55,0.75,0.15,0.8,-0.2,0.5,-0.8,0.1,1,0,0,0.95,0.9,0.05,1,0.3,1,-0.4,0.4
8,20,1,0.05,0.7,0.05,0,0.55,-0.2,0.2,0,0,0,-0.75,-0.15,-0.9,0,0.3,0,-0.5,0.3,0.7,0,-0.4,0,0.05,-0.25,-0.15,0,0.8,0,-0.35,0.65,0,0,0,0.25,-0.15,0,0.5,-0.3,0.35,0.35,-0.2,0,-0.15,-0.6,0,0.8,0.2,-0.2,0.75,-0.3,0.05,0.6,0
9,22,1,-0.123076923,-0.65,-0.55,0.15,0.3,-0.4,0.15,-0.2,-0.25,0.35,0.2,-0.15,-0.6,-0.15,-0.6,0,-0.4,-0.6,-0.2,0.65,0.4,0.15,-0.65,-0.3,-0.2,0.35,0.3,-0.55,-0.2,-0.2,-0.25,-0.45,-0.35,-0.3,0.1,-0.2,0.5,0.25,-0.45,0.15,-0.2,-0.25,-0.1,-0.2,-0.15,-0.25,0,0.2,-0.5,-0.6,0.15,0.55,-0.2
10,27,1,0.305769231,0.55,0.5,0.55,1,-0.6,1,0,0,0.55,-0.6,0.5,-1,0,0.6,0,0,0.6,-0.6,0,0.55,0,1,0,0,0.5,0.75,0.65,0,-0.55,0.55,0.55,0.6,0,0,0.55,1,0.3,0.6,0.55,-0.6,0,0.65,0.75,1,0.55,0.5,0.6,0,0.8,1,0,0
11,22,1,0.009615385,0.1,0,0,0.65,0,0.6,-0.4,0,-0.25,0.35,0,0.45,0,0,0,0,0.45,0,0.45,0,-0.4,0,-0.25,-0.35,-0.35,0.4,-0.4,0,0,0,0,0,0,-0.35,0,0,0,0,0,0.35,0,0,0,-0.35,0.2,0,0,-0.2,-0.2,0,0,0
12,22,1,0.147115385,0.2,-0.2,0.25,0.6,-0.2,0.7,-0.7,0.2,0.3,0.55,-0.6,-0.25,-0.25,-0.3,0.15,-0.25,0.7,-0.15,0.8,-0.2,0.5,-0.2,-0.2,0.7,0.25,0.35,-0.7,0.4,0.3,0.4,0.2,0.25,0.2,0.45,-0.2,-0.6,0.35,0.4,0.55,0.9,-0.25,0.4,0.7,-0.35,-0.2,0.15,0.25,0.7,0.2,0.15,0.45,-0.2
13,23,1,0.175,-0.4,-0.15,-0.25,0.5,0.35,0.8,-0.45,0.2,0.2,0.6,-0.3,-0.65,0.2,-0.1,-0.3,-0.1,0.25,0.35,0.2,0.2,0.7,-0.3,-0.05,0.25,0.5,0.5,-0.25,-0.05,-0.15,0.65,-0.3,0.55,0.35,0.65,-0.25,0.55,0.45,-0.3,0.65,-0.25,0.05,0.65,0.65,0.15,0.05,0.4,-0.15,0.6,0.3,0.6,0.65,0.1
14,21,1,-0.084615385,-0.2,0,0.05,0.1,-0.2,0,0,0,0,0,0,-0.45,0,-0.25,0,0,0,0,0,-0.2,0.25,-0.45,-0.5,0,-0.3,0,0,0,0,0,0,-0.2,0,0.3,-0.5,0.25,0,-0.55,0,0,-0.25,0,0,0,-0.55,-0.55,0,0,-0.2,0,0,0
15,25,1,0.373076923,0.45,0.6,0.15,0.4,-0.7,0.65,0.7,0.45,0.25,-0.6,0.4,0.5,0.5,-0.4,0.65,0.15,-0.25,0.55,0.8,-0.5,0.55,0.6,0.3,0.55,0.55,0.5,0.25,0.55,0.55,0.55,0.6,-0.45,0.8,0.45,0.45,-0.65,0.95,0.85,0.65,-0.65,0.3,0.5,0.5,0.3,0.5,0.8,0.3,0.9,0.75,0.55,0.5,0.8
16,23,1,-0.324038462,-0.55,-0.85,-0.4,-0.7,-0.6,0.85,-0.75,0.4,0.45,-0.9,-0.65,-0.9,0.25,0.55,-0.55,-0.5,-0.7,0.5,-0.3,0.75,-0.6,-0.6,0.65,-0.8,-0.45,-0.8,-0.6,-0.7,-0.9,0.25,-0.8,-0.9,-0.5,-0.7,-0.65,-0.8,0.8,-0.75,-0.45,-0.9,0.2,-0.55,-0.7,0.5,0.65,0.25,-0.45,-0.45,-0.8,0.55,-0.55,-0.7
17,22,1,-0.032692308,-0.55,-0.3,0.55,-0.9,-0.2,-0.15,0.15,0.05,0.3,-0.45,0,-0.6,0.25,0,0.15,-0.1,0,0.4,0.8,0.1,0.55,-0.55,-0.35,-0.15,0.6,0.2,0.3,0,-0.3,-0.15,-0.4,-0.25,-0.3,0.4,-0.5,0.2,-0.4,-0.4,0.3,0.65,0,-0.25,-0.65,-0.15,-0.45,0,0.15,-0.65,0.35,0.4,0.6,0
18,25,1,-0.1875,-0.75,0.4,-0.65,-0.2,-0.4,0.2,-0.6,-0.05,0.9,0.25,-0.75,-1,-0.45,-0.8,-0.5,-0.5,-0.3,-0.3,0.75,-0.25,0.8,0.1,-0.85,-0.15,-0.75,0.25,-0.45,-0.65,0,-0.4,-0.7,-0.35,-0.25,-0.5,-0.15,0.65,0.8,-0.05,0.1,-0.15,-0.3,0.85,0.15,-0.85,-0.65,-0.65,-0.15,-0.25,-0.45,0.1,0.95,-0.8
19,22,1,0.175,0.5,0.2,0.4,0.45,0.75,0.3,0.2,0,0.15,0.1,0.35,-0.2,0,0,0.25,0,0,0.65,0.6,0.35,0,0,0.5,0.35,0.3,0.15,0.15,0,0,0.2,0,0,0,-0.2,0,0.25,0.25,0,0.25,0,0,0.25,0.25,-0.15,0.3,0.25,0,0.55,-0.3,0,0.3,0.4
20,23,1,0.224038462,0,-0.35,0.35,0.15,-0.2,0.6,0.35,0.75,0.3,0.5,0.55,-0.75,0.55,0.15,0.35,0,-0.25,0.9,0.9,0.95,0.95,-0.2,0.2,-0.1,0.4,-0.5,0.15,0,0.2,0.2,-0.15,0.2,0,-0.2,-0.15,0.3,0.65,-0.05,0.45,0.2,0.45,0.4,0.3,-0.2,0.45,0.45,0.3,-0.1,-0.1,0.4,0.7,0.25
21,22,1,0.110576923,0.35,-0.2,0,0.5,-0.45,0,0,0.45,0.55,0.25,-0.3,-0.25,-0.3,-0.35,0,0,0.55,0.4,0.75,-0.55,0.55,0.25,0,-0.25,-0.25,0.35,0,0,0.45,0.2,0.25,0.2,0,0.55,0.15,0,0.25,0.15,0.2,0.5,0.15,0.2,-0.15,-0.15,-0.45,-0.3,0.2,0.65,0.35,0.15,0,0.15
22,23,1,0.195192308,0.45,0.25,0.3,0.8,-0.15,0,0.2,0,-0.3,0,0.65,-0.5,0.9,0.25,0.3,0.5,-0.25,-0.1,0,0.6,0,-0.1,0.9,-0.55,0.55,-0.35,0,0.4,-0.25,0,0.6,0.8,0,-0.95,0.15,0.1,0.65,-0.2,0.35,-0.5,0,0.5,-0.25,0.85,0.75,1,0.2,0.8,0.2,0.4,0,0.2
23,22,1,0.161538462,-0.1,0.2,0.5,0,-0.9,0.5,0.3,0.4,1,-0.4,0,-0.05,0.4,0.7,0.6,0.15,-0.25,0.5,0.4,0.2,-0.15,-0.25,0.6,0,0.85,0,0.55,-0.2,-0.4,0.5,0.2,0,0,-0.3,0.35,0.45,-0.4,-0.35,0,-0.7,0,0,-0.4,0.5,0.65,0.6,0.15,0.3,0.45,0.2,0.55,0.5
24,31,1,-0.082692308,1,-0.6,0.3,-0.35,-0.2,-0.3,0.2,0,-0.3,0,0,0,-0.2,-0.3,0,0,0.1,-0.15,-0.2,-0.2,-0.15,0.25,-0.2,-0.2,-0.25,0.2,0,0,-0.2,-0.25,0,-0.2,-0.1,-0.2,0,-0.3,-0.3,0.3,0,0,0,-0.25,-0.25,-0.25,-0.2,-0.2,0,-0.25,0.2,0,-0.3,0
25,25,1,0.557692308,0.6,1,1,0.4,0,0.4,0.55,1,0.7,0,0.85,0,1,0.75,0.75,0.2,0.35,0.95,1,1,0.7,0,1,0.75,0.7,0.3,0.3,0.45,0.5,0.8,0.75,0.25,1,0,0.45,-0.7,0.95,0.4,0.6,-0.45,0.6,0.65,0.3,0.55,0.85,0.75,0,1,0.45,0.85,1,0.75
26,31,1,-0.015384615,0.2,0.15,-0.3,0,0,0.15,-0.2,0,0,-0.35,0.1,-0.15,0,0.7,0.35,0,-0.6,0.3,0.65,0.85,0,-0.5,0.85,-0.45,0,-0.55,-0.15,0,0.35,-0.25,-0.4,0,0.1,0,-0.5,-0.25,0.2,-0.5,0,-0.4,0,-0.8,-0.85,0.2,0.95,1,-0.4,-0.25,0.15,0,-0.2,0
27,22,1,0.047115385,0.35,-0.5,0.8,-0.65,-1,0,1,0,-0.4,-0.8,0,0.8,0.3,0.35,0.6,0,0.15,0.25,0.65,0.65,-0.15,0.1,0.25,-1,1,-0.8,0.8,0,-0.15,0.15,0.05,0,-0.55,-1,0.15,-0.3,-0.1,0,0,-1,0,-0.05,0,0,0.05,0.2,0,0,0.65,0.15,0.45,1
28,20,1,-0.028846154,-0.3,-0.1,0,-0.6,-0.35,-0.4,0.65,0.2,0.25,-0.7,-0.25,0.5,0,0.2,0,-0.15,0.45,0.3,0.4,0.1,0.65,-0.35,0.05,0.55,0.6,-0.25,0.65,0.2,-0.35,-0.15,-0.3,-0.3,-0.45,-0.65,-0.35,0.7,0.2,-0.45,0.3,-0.65,0.25,0.35,-0.75,-0.3,-0.25,-0.15,0.3,-0.8,0.15,-0.55,0.5,-0.1
29,20,1,0.05,0.2,-0.35,-0.3,0.7,0.3,0.3,-0.6,-0.2,-0.4,-0.4,-0.3,-0.35,0.45,0.5,-0.35,-0.2,-0.35,0.65,0.65,0.6,-0.25,-0.3,0.65,-0.55,0.7,0.3,-0.4,-0.2,-0.15,-0.35,0.4,0.3,-0.35,-0.7,0.25,0.8,-0.35,0.2,0.4,0.6,0.2,-0.3,0.2,-0.4,0.45,0.4,0.2,0.5,-0.35,0,0.4,-0.25
30,21,1,-0.226923077,0.45,-0.7,-0.25,-0.6,-0.85,0.35,-0.45,-0.8,-0.2,-0.7,-0.3,-0.85,-0.3,0.3,-0.5,-0.55,0.15,0.3,-0.45,0.3,0.75,-0.2,-0.2,0.4,0.55,0.5,-0.4,-0.25,-0.5,-0.7,-0.6,-0.4,-0.3,-0.65,-0.65,0.4,-0.55,-0.3,0.3,-0.15,0.2,-0.55,-0.3,-0.65,-0.7,0.1,0.05,-0.45,-0.45,-0.55,0.3,-0.2
31,23,1,0.2,0.25,0.3,0.2,0.4,-0.15,0.25,0.2,0.45,0.35,0.2,0.25,-0.3,0.25,0.25,0.15,0.25,0.15,0.25,0.35,0.2,0.25,-0.25,0.45,-0.2,0.35,0.2,0.25,0.25,-0.25,0.2,0.2,0.25,0.25,-0.25,0.2,0.25,0.25,-0.25,0.3,0.3,0.35,0.25,0.3,0.2,0.4,0.3,0.25,0.25,0.25,0.4,0.2,0.25
32,23,1,0.095192308,0.35,0.25,0.25,0.15,-0.25,-0.2,0,0,-0.2,-0.1,0,0,0.25,0.3,0.15,0.15,-0.15,0.2,0.15,0.15,0,0.35,0.5,0.25,0.3,-0.25,0,0.35,-0.35,0,0.3,0,0,0,0,-0.15,0.2,0.35,0.45,-0.3,0.05,0.1,-0.2,0,0.2,0.4,0.35,0,0,0.2,0.2,0.2
33,21,1,0.115384615,0.35,0.6,-0.55,0,0.35,0.45,-0.75,0,0.4,0.5,-0.15,-0.75,0.25,0,-0.7,0,0,0.2,0,0,0.35,-0.65,0.75,0.65,0.6,0.25,-0.7,0.7,-0.4,0.65,0.35,-0.5,0.3,0.4,0,0.25,0.45,-0.75,0,0.55,0,0.3,0,0.2,0.55,0.55,-0.35,0.7,0,0.15,0,0.45
34,20,1,-0.067307692,0.7,-0.15,0.35,-0.85,-0.25,-0.65,0.55,0.2,-0.3,-1,-0.2,-0.2,0.15,-0.2,0.25,-0.05,-0.2,-0.25,0.5,0.45,0.5,-0.4,-0.4,-0.55,0.35,0.55,0.45,-0.3,0,0.5,-0.75,-0.35,0.25,-0.55,-0.6,0.35,-0.1,-0.55,0.75,-0.9,0.3,-0.15,-0.85,-0.6,0.15,-0.25,0.2,-0.5,-0.4,0.75,0.95,-0.2
35,23,1,0.425,0.8,1,0.8,0.7,-0.3,0.45,0.15,1,-0.7,0.35,0.6,-0.35,0.75,1,0.7,0.75,0.15,0.7,0.2,0.85,-0.25,0.15,1,0.8,0.65,-0.5,0.15,-0.2,-0.45,0.55,0.75,0.75,0.5,-0.35,0.7,-0.2,-0.15,0.2,0.75,-0.2,0.65,-0.1,0.5,0.7,0.95,1,0.35,0.8,0.6,0.8,0.6,1
36,30,1,0.085576923,0.2,-0.3,0.1,0.55,-0.65,0.65,-0.3,-0.4,-0.5,-0.4,0.35,-0.5,0.55,-0.7,0.35,0.4,0.45,0.6,0.9,0.4,-0.2,-0.4,-0.45,0.85,0.35,-0.6,-0.35,-0.15,-0.6,0.4,0.7,0.5,0.35,-0.85,0.45,-0.4,0.5,-0.25,0.8,-0.3,0.1,0.35,0.6,0.4,-0.6,-0.15,0.4,-0.2,0.7,-0.5,0.8,0.45
37,22,1,-0.264423077,-0.45,-0.15,-0.7,-0.7,-0.5,0.1,-0.2,0.1,0.05,-0.65,-0.6,0,-0.3,-0.7,-0.75,-0.4,-0.05,-0.5,0.9,-0.85,-0.05,-0.25,-0.55,-0.2,-0.4,0.75,-0.65,-0.2,-0.05,0.4,-0.7,-0.1,-0.05,-0.45,-0.45,0.5,-0.75,-0.3,-0.55,0.35,-0.45,0.3,-0.65,-0.5,-1,-0.6,-0.65,0.5,-0.75,0.15,0.5,-0.55
